Epoch,Train Loss,Validation Loss,RMSE Validation,MAE Validation,MAPE Validation,Min_RMSE Evaluation,Min_MAE Evaluation,Min_MAPE Evaluation
1,0.91485244,2.9317188,17.957981442450993,3.5835143660972832,624507898.9798013,17.957981442450993,3.5835143660972832,624507898.9798013
2,0.66601115,2.974311,18.087958167626354,3.429677171146827,534908765.98362595,17.957981442450993,3.429677171146827,534908765.98362595
3,0.66614306,2.9557104,18.031310980777405,3.4501477833716803,555625921.523265,17.957981442450993,3.429677171146827,534908765.98362595
4,0.6623724,2.8391666,17.67224646377611,3.477393363978177,599186502.7843033,17.67224646377611,3.429677171146827,534908765.98362595
5,0.66888815,3.2728386,18.973987665299266,3.471165151285352,492005517.7633077,17.67224646377611,3.429677171146827,492005517.7633077
6,0.65667444,2.9278908,17.946253450143814,3.366536446754192,525954520.8186451,17.67224646377611,3.366536446754192,492005517.7633077
7,0.6394089,2.9688833,18.07144584610547,3.365575511619936,513177485.72716486,17.67224646377611,3.365575511619936,492005517.7633077
8,0.62667966,2.8078651,17.57455912446945,3.301477094321996,531491020.5065539,17.57455912446945,3.301477094321996,492005517.7633077
9,0.608399,2.6029687,16.921186227086956,3.322519373594109,589492850.0717747,16.921186227086956,3.301477094321996,492005517.7633077
10,0.6106602,2.7618866,17.430075829166487,3.30269604929121,537103993.7575108,16.921186227086956,3.301477094321996,492005517.7633077
11,0.60763985,2.644381,17.055261295592118,3.310364948446979,576680568.4912406,16.921186227086956,3.301477094321996,492005517.7633077
12,0.6092691,2.6402895,17.04206118743865,3.2960664616104847,569722746.3516304,16.921186227086956,3.2960664616104847,492005517.7633077
13,0.61009,2.916725,17.912000759187745,3.3115289302877895,499019119.40950334,16.921186227086956,3.2960664616104847,492005517.7633077
14,0.60560334,2.7669256,17.445969484382122,3.281476996981961,520308060.0944557,16.921186227086956,3.281476996981961,492005517.7633077
15,0.5980461,3.2003891,18.76280353465607,3.356140242868247,436984853.09436405,16.921186227086956,3.281476996981961,436984853.09436405
16,0.59564775,2.8968098,17.850745593154738,3.253370241732683,466369728.2769515,16.921186227086956,3.253370241732683,436984853.09436405
17,0.5886756,2.712216,17.272629195427232,3.2357530562302212,508257281.1383312,16.921186227086956,3.2357530562302212,436984853.09436405
18,0.590334,2.5873234,16.870257264673185,3.2511032979023327,544958529.5229235,16.870257264673185,3.2357530562302212,436984853.09436405
19,0.59152585,2.8345006,17.657719697172148,3.2373818649461774,471815357.56538314,16.870257264673185,3.2357530562302212,436984853.09436405
20,0.58701265,2.6001794,16.912117249887654,3.261568585775766,550770564.1673056,16.870257264673185,3.2357530562302212,436984853.09436405
21,0.5899954,2.8534298,17.716583095120015,3.240155098527129,473018799.9147501,16.870257264673185,3.2357530562302212,436984853.09436405
22,0.5903767,2.7149115,17.281211503503112,3.2180691362224483,496946733.6962185,16.870257264673185,3.2180691362224483,436984853.09436405
23,0.5855448,2.8156376,17.598866922243214,3.2124656750451677,467386219.48066837,16.870257264673185,3.2124656750451677,436984853.09436405
24,0.5845478,2.8607967,17.739438144646464,3.19973726912925,451201152.22454804,16.870257264673185,3.19973726912925,436984853.09436405
25,0.57467765,2.6128104,16.953144161828174,3.1582794921844317,494033102.4705045,16.870257264673185,3.1582794921844317,436984853.09436405
26,0.5742056,2.716179,17.285246638023285,3.1572828551506404,461865433.0063914,16.870257264673185,3.1572828551506404,436984853.09436405
27,0.57455033,2.5352015,16.699466117799492,3.1405276385463616,493485323.5467892,16.699466117799492,3.1405276385463616,436984853.09436405
28,0.56399965,2.4974036,16.574510946169084,3.224376824808141,536617934.9222878,16.574510946169084,3.1405276385463616,436984853.09436405
29,0.55980456,2.522903,16.658911344476735,3.122847769267411,480957475.4666604,16.574510946169084,3.122847769267411,436984853.09436405
30,0.5642575,2.517355,16.640585247535395,3.230143921705097,531116108.29338205,16.574510946169084,3.122847769267411,436984853.09436405
31,0.55832547,2.5057914,16.602322118346137,3.1580077634591044,498110533.971283,16.574510946169084,3.122847769267411,436984853.09436405
32,0.5639097,2.4634755,16.4615388398059,3.101158709304436,477727496.1737126,16.4615388398059,3.101158709304436,436984853.09436405
33,0.55345863,2.7269197,17.319387373926475,3.084724918089108,399612874.0161739,16.4615388398059,3.084724918089108,399612874.0161739
34,0.5603769,2.4922857,16.55751869835334,3.156728753839194,488189544.62284815,16.4615388398059,3.084724918089108,399612874.0161739
35,0.5555589,2.4933248,16.5609708634617,3.191420377950913,497470463.24886394,16.4615388398059,3.084724918089108,399612874.0161739
36,0.5565657,2.5134478,16.627665196024058,3.0785333122629805,441876444.3024096,16.4615388398059,3.0785333122629805,399612874.0161739
37,0.5583705,2.5000916,16.583426781656595,3.097007264534601,453805767.71747434,16.4615388398059,3.0785333122629805,399612874.0161739
38,0.5558139,2.4837477,16.5291337971303,3.1536740095801035,475563038.3580151,16.4615388398059,3.0785333122629805,399612874.0161739
39,0.5573156,2.538463,16.710204996080726,3.2743732813146478,521753503.61565316,16.4615388398059,3.0785333122629805,399612874.0161739
40,0.5555979,2.5157564,16.635299929435682,3.175842562809899,476262954.1873054,16.4615388398059,3.0785333122629805,399612874.0161739
41,0.56230104,2.521949,16.655761113236597,3.1217228602177056,452235289.79346913,16.4615388398059,3.0785333122629805,399612874.0161739
42,0.555049,2.5403426,16.71638915923111,3.1712001288024907,463520022.4979167,16.4615388398059,3.0785333122629805,399612874.0161739
43,0.55409974,2.4987652,16.579028411600316,3.1113405300862866,442740907.50955397,16.4615388398059,3.0785333122629805,399612874.0161739
44,0.5587677,2.5093403,16.614073872401807,3.1821954401937855,482666416.0151736,16.4615388398059,3.0785333122629805,399612874.0161739
45,0.55287355,2.4943883,16.5645009047142,3.0724009401047296,430323416.872308,16.4615388398059,3.0724009401047296,399612874.0161739
46,0.5504933,2.481028,16.520081255037397,3.104893789169903,443229366.7450397,16.4615388398059,3.0724009401047296,399612874.0161739
47,0.5560392,2.517116,16.63979555129352,3.2204975873516672,498635467.4341035,16.4615388398059,3.0724009401047296,399612874.0161739
48,0.55307555,2.5672646,16.804735054147567,3.0262205144064995,395593281.15014565,16.4615388398059,3.0262205144064995,395593281.15014565
49,0.5504722,2.4883332,16.54438604547314,3.157934920035892,468453280.2795682,16.4615388398059,3.0262205144064995,395593281.15014565
50,0.5587458,2.4609733,16.45317770966382,3.0659055782943843,435929180.6877007,16.45317770966382,3.0262205144064995,395593281.15014565
51,0.5551333,2.4819374,16.523106762945986,3.0422662067795536,428288364.6701363,16.45317770966382,3.0262205144064995,395593281.15014565
52,0.5522744,2.4897919,16.54923451260515,3.14689534257651,464316080.83319515,16.45317770966382,3.0262205144064995,395593281.15014565
