Epoch,Train Loss,Validation Loss,RMSE Validation,MAE Validation,MAPE Validation,Min_RMSE Evaluation,Min_MAE Evaluation,Min_MAPE Evaluation
1,tensor(908.3239),tensor(8.0769),33.142921300251764,6.233520299352413,1062270824.9208895,33.142921300251764,6.233520299352413,1062270824.9208895
2,tensor(864.7965),tensor(7.7925),32.55429039789188,5.322597064176927,304735546.494888,32.55429039789188,5.322597064176927,304735546.494888
3,tensor(828.4479),tensor(7.5345),32.010772906046235,5.3672298682872075,410355583.2616584,32.010772906046235,5.322597064176927,304735546.494888
4,tensor(796.9591),tensor(7.3106),31.531572957001252,5.158625529927107,283537897.0777233,31.531572957001252,5.158625529927107,283537897.0777233
5,tensor(769.1785),tensor(7.1152),31.107260479569522,5.148378795742451,306863171.5726928,31.107260479569522,5.148378795742451,283537897.0777233
6,tensor(742.6967),tensor(6.9099),30.65536443169239,5.238695279581258,478343379.22823375,30.65536443169239,5.148378795742451,283537897.0777233
7,tensor(718.5715),tensor(6.7498),30.2981308695775,4.993676743543414,291851448.59138626,30.2981308695775,4.993676743543414,283537897.0777233
8,tensor(699.5874),tensor(6.5920),29.941726460028608,5.031128664602752,340487072.0776464,29.941726460028608,4.993676743543414,283537897.0777233
9,tensor(686.7778),tensor(6.5186),29.774727329018113,5.020493841907216,385045732.76867294,29.774727329018113,4.993676743543414,283537897.0777233
10,tensor(669.1797),tensor(6.3844),29.46648776369158,5.04981185508162,489363605.7506955,29.46648776369158,4.993676743543414,283537897.0777233
11,tensor(651.4713),tensor(6.2366),29.123436010277548,4.84907619278121,307375991.56158936,29.123436010277548,4.84907619278121,283537897.0777233
12,tensor(634.5361),tensor(6.1223),28.855332859371433,4.971994993041395,440552349.4660781,28.855332859371433,4.84907619278121,283537897.0777233
13,tensor(621.3527),tensor(5.9978),28.560561989925475,4.720715619736074,252711605.80130056,28.560561989925475,4.720715619736074,252711605.80130056
14,tensor(605.0609),tensor(5.8867),28.294725647145334,4.921321574410721,484555736.04377306,28.294725647145334,4.720715619736074,252711605.80130056
15,tensor(594.7649),tensor(5.7953),28.07427301872543,4.733318640237903,294448729.1547654,28.07427301872543,4.720715619736074,252711605.80130056
16,tensor(583.5865),tensor(5.7872),28.054599885050642,4.672727421711564,281855842.3474733,28.054599885050642,4.672727421711564,252711605.80130056
17,tensor(576.2823),tensor(5.6747),27.78054549234895,4.737586345875065,375435070.68587214,27.78054549234895,4.672727421711564,252711605.80130056
18,tensor(567.3533),tensor(5.5938),27.58182148255139,4.632059905259686,289667577.5480646,27.58182148255139,4.632059905259686,252711605.80130056
19,tensor(558.1743),tensor(5.5464),27.46480094967934,4.596955029168675,259964807.52124995,27.46480094967934,4.596955029168675,252711605.80130056
20,tensor(550.3619),tensor(5.5610),27.500799375532402,4.576022118613169,221543504.86550188,27.46480094967934,4.576022118613169,221543504.86550188
21,tensor(544.0296),tensor(5.3998),27.099408758485364,4.739863317747258,439747253.58295226,27.099408758485364,4.576022118613169,221543504.86550188
22,tensor(534.9363),tensor(5.3868),27.06656178173847,4.511495006958704,212801250.21963987,27.06656178173847,4.511495006958704,212801250.21963987
23,tensor(530.7147),tensor(5.3478),26.968561324104126,4.665380148858834,394696472.23080623,26.968561324104126,4.511495006958704,212801250.21963987
24,tensor(520.8796),tensor(5.2607),26.748014370860773,4.583176839879,298859428.9968164,26.748014370860773,4.511495006958704,212801250.21963987
25,tensor(522.4832),tensor(5.2483),26.716431335537433,4.535689539835995,294396343.72791445,26.716431335537433,4.511495006958704,212801250.21963987
26,tensor(517.1921),tensor(5.2453),26.708812010196503,4.490469098808294,200293365.73538405,26.708812010196503,4.490469098808294,200293365.73538405
27,tensor(514.3961),tensor(5.3100),26.872983278558863,4.478722466291067,202579568.49860087,26.708812010196503,4.478722466291067,200293365.73538405
28,tensor(507.9962),tensor(5.1689),26.51348039148037,4.479956093606396,270243328.3077343,26.51348039148037,4.478722466291067,200293365.73538405
29,tensor(504.3750),tensor(5.1075),26.355553968340804,4.457408751487003,207801652.54828578,26.355553968340804,4.457408751487003,200293365.73538405
30,tensor(499.4029),tensor(5.0923),26.31635729261985,4.818736464055532,650130611.0885953,26.31635729261985,4.457408751487003,200293365.73538405
31,tensor(498.7800),tensor(5.0535),26.215876738479135,4.391454211969108,248493766.44040075,26.215876738479135,4.391454211969108,200293365.73538405
