Epoch,Train Loss,Validation Loss,RMSE Validation,MAE Validation,MAPE Validation,Min_RMSE Evaluation,Min_MAE Evaluation,Min_MAPE Evaluation
1,tensor(295.5349),tensor(18.3766),49.99213592626684,11.304286673284052,1546794532.7153182,49.99213592626684,11.304286673284052,1546794532.7153182
2,tensor(271.4145),tensor(2.3703),17.954297679930765,3.5029553441218555,440430673.6200879,17.954297679930765,3.5029553441218555,440430673.6200879
3,tensor(266.2103),tensor(2.3908),18.031740413150803,3.4173451597136935,377223947.347342,17.954297679930765,3.4173451597136935,377223947.347342
4,tensor(269.6376),tensor(2.3145),17.741719530844673,3.3962897316441,388922409.506449,17.741719530844673,3.3962897316441,377223947.347342
5,tensor(261.0199),tensor(2.3118),17.731344049708632,3.3672933769021025,396700101.0990887,17.731344049708632,3.3672933769021025,377223947.347342
6,tensor(259.6350),tensor(2.3844),18.007814896960785,3.676370827264595,554417417.6554691,17.731344049708632,3.3672933769021025,377223947.347342
7,tensor(269.7866),tensor(2.7031),19.17337397620478,3.6863887636944357,403656348.77929395,17.731344049708632,3.3672933769021025,377223947.347342
8,tensor(246.4499),tensor(2.2944),17.664552560782678,3.381997491815572,394499428.05913615,17.664552560782678,3.3672933769021025,377223947.347342
9,tensor(259.8286),tensor(2.3064),17.71068312590246,3.3614481289325333,403986710.3552896,17.664552560782678,3.3614481289325333,377223947.347342
10,tensor(259.9136),tensor(2.3848),18.0092393638675,3.4913965032598346,459472031.44681203,17.664552560782678,3.3614481289325333,377223947.347342
11,tensor(263.9843),tensor(2.2566),17.51866575147215,3.4378858277594815,464552222.48498416,17.51866575147215,3.3614481289325333,377223947.347342
12,tensor(254.9967),tensor(2.2193),17.373137215018797,3.331653343502758,414885085.0455008,17.373137215018797,3.331653343502758,377223947.347342
13,tensor(258.9138),tensor(2.2506),17.49525076813927,3.3094245788280734,387296540.8471928,17.373137215018797,3.3094245788280734,377223947.347342
14,tensor(248.8581),tensor(2.4664),18.314871921973676,3.590344658814089,443311359.7651434,17.373137215018797,3.3094245788280734,377223947.347342
15,tensor(251.5026),tensor(2.2604),17.533298136959914,3.3199741885928162,357519122.80580497,17.373137215018797,3.3094245788280734,357519122.80580497
16,tensor(233.2796),tensor(2.3556),17.898835999340445,3.2764585690115378,308334917.65739125,17.373137215018797,3.2764585690115378,308334917.65739125
17,tensor(243.3069),tensor(2.3250),17.782198734824128,3.401941750218524,375350441.11699027,17.373137215018797,3.2764585690115378,308334917.65739125
18,tensor(246.6046),tensor(2.4161),18.126858969186472,3.3414853408648897,354975605.87805873,17.373137215018797,3.2764585690115378,308334917.65739125
19,tensor(249.9447),tensor(2.3950),18.047664956727402,3.3458849964988,372063849.29837257,17.373137215018797,3.2764585690115378,308334917.65739125
20,tensor(246.9328),tensor(2.3209),17.766427654982806,3.274484207212546,277743416.4572302,17.373137215018797,3.274484207212546,277743416.4572302
21,tensor(250.4785),tensor(2.5821),18.739415186371854,3.6936202917966248,434963649.51892847,17.373137215018797,3.274484207212546,277743416.4572302
22,tensor(251.9617),tensor(2.7391),19.300794987511534,3.454784562873154,267646626.361079,17.373137215018797,3.274484207212546,267646626.361079
23,tensor(249.5385),tensor(2.4889),18.398224367025918,3.324967199114309,295278282.9827671,17.373137215018797,3.274484207212546,267646626.361079
24,tensor(238.3067),tensor(2.4807),18.36792308024095,3.6506425927676305,466521007.4235732,17.373137215018797,3.274484207212546,267646626.361079
25,tensor(261.5646),tensor(2.2779),17.600809528970526,3.2607391595550883,348946456.5399855,17.373137215018797,3.2607391595550883,267646626.361079
26,tensor(259.7190),tensor(2.3890),18.02520394449765,3.4794768508833815,365843320.9059653,17.373137215018797,3.2607391595550883,267646626.361079
27,tensor(245.8389),tensor(2.2051),17.317465140994766,3.2763771150675867,339868449.39357066,17.317465140994766,3.2607391595550883,267646626.361079
28,tensor(251.6530),tensor(2.5655),18.67891743433009,3.351047451854543,258695048.91846633,17.317465140994766,3.2607391595550883,258695048.91846633
29,tensor(255.9247),tensor(2.2727),17.581031483956405,3.3265946731882026,369344292.9067991,17.317465140994766,3.2607391595550883,258695048.91846633
30,tensor(253.7117),tensor(2.5071),18.465070649401564,3.342634682006678,320112314.0769277,17.317465140994766,3.2607391595550883,258695048.91846633
31,tensor(251.3185),tensor(2.3174),17.753062770485997,3.4327202603745475,387741916.7317292,17.317465140994766,3.2607391595550883,258695048.91846633
32,tensor(249.0226),tensor(2.3574),17.90560322820271,3.2609772181099133,298863576.6564664,17.317465140994766,3.2607391595550883,258695048.91846633
33,tensor(255.8693),tensor(2.6350),18.930530738838033,3.6701574119837908,389372248.27788097,17.317465140994766,3.2607391595550883,258695048.91846633
34,tensor(248.6244),tensor(2.3138),17.739012419891537,3.246890257551596,263253882.7986637,17.317465140994766,3.246890257551596,258695048.91846633
35,tensor(249.4386),tensor(2.5149),18.493910859104698,3.2968721439676796,250153462.54217485,17.317465140994766,3.246890257551596,250153462.54217485
36,tensor(249.2796),tensor(2.2694),17.568038979879137,3.2431444339740096,299609870.72663325,17.317465140994766,3.2431444339740096,250153462.54217485
37,tensor(251.3424),tensor(2.2108),17.339942471692996,3.2149837478192067,268752673.1580642,17.317465140994766,3.2149837478192067,250153462.54217485
38,tensor(252.8452),tensor(2.2002),17.29827817034407,3.216833422801127,310139475.82146555,17.29827817034407,3.2149837478192067,250153462.54217485
39,tensor(243.3797),tensor(2.2833),17.62179064164348,3.1816715336379127,268184970.04594043,17.29827817034407,3.1816715336379127,250153462.54217485
40,tensor(244.8631),tensor(2.5087),18.47109776821967,3.2859532063519827,230258163.41521865,17.29827817034407,3.1816715336379127,230258163.41521865
41,tensor(243.6160),tensor(2.2388),17.449428145905944,3.1918795383171585,276655258.9282647,17.29827817034407,3.1816715336379127,230258163.41521865
42,tensor(248.3518),tensor(2.5570),18.648214546257293,3.6290251825957216,409437158.79495114,17.29827817034407,3.1816715336379127,230258163.41521865
43,tensor(247.7521),tensor(2.2585),17.525695650395573,3.274387443036344,320079546.55086786,17.29827817034407,3.1816715336379127,230258163.41521865
44,tensor(250.6766),tensor(2.4081),18.09715668224567,3.380908076649371,313224971.2554626,17.29827817034407,3.1816715336379127,230258163.41521865
45,tensor(249.1694),tensor(2.3609),17.918699570888947,3.2554562091185284,258274923.10014954,17.29827817034407,3.1816715336379127,230258163.41521865
46,tensor(250.0797),tensor(2.2888),17.643021170377477,3.222992057660545,293761691.1540331,17.29827817034407,3.1816715336379127,230258163.41521865
47,tensor(246.0445),tensor(2.2926),17.657583680168138,3.236223850776872,285872235.08337617,17.29827817034407,3.1816715336379127,230258163.41521865
48,tensor(251.8573),tensor(2.3196),17.761492839402656,3.241926390770538,285014981.77231246,17.29827817034407,3.1816715336379127,230258163.41521865
