Epoch,Train Loss,Validation Loss,RMSE Validation,MAE Validation,MAPE Validation,Min_RMSE Evaluation,Min_MAE Evaluation,Min_MAPE Evaluation
1,1.8107333,9.776099,36.46298964149689,6.316401654473599,356670715.8012563,36.46298964149689,6.316401654473599,356670715.8012563
2,1.7226261,9.977013,36.83576778537121,6.382634908113325,233743485.4709381,36.46298964149689,6.316401654473599,233743485.4709381
3,1.7298796,9.982819,36.84648123745069,6.432000630779934,292500051.772238,36.46298964149689,6.316401654473599,233743485.4709381
4,1.7275332,10.047346,36.9653760534225,6.559200248817612,387612634.7007198,36.46298964149689,6.316401654473599,233743485.4709381
5,1.7281008,9.890082,36.67493646982872,6.433456708684761,354234372.6648879,36.46298964149689,6.316401654473599,233743485.4709381
6,1.7188085,9.925449,36.7404525627864,6.391019444982753,239749066.68683946,36.46298964149689,6.316401654473599,233743485.4709381
7,1.7179906,9.888822,36.6726031607164,6.385867600572367,263069185.62443513,36.46298964149689,6.316401654473599,233743485.4709381
8,1.7150946,9.8610735,36.62110801716812,6.354773724650697,230040030.5386724,36.46298964149689,6.316401654473599,230040030.5386724
9,1.7120787,9.934537,36.75727072833759,6.491748986292966,342648486.91544694,36.46298964149689,6.316401654473599,230040030.5386724
10,1.714867,9.930641,36.750061416362975,6.536949931180554,400796741.37480545,36.46298964149689,6.316401654473599,230040030.5386724
11,1.712097,9.859623,36.618419522591765,6.430197252678515,315540177.9327671,36.46298964149689,6.316401654473599,230040030.5386724
12,1.7084944,9.907282,36.70681671382427,6.479855288156985,337259346.6936328,36.46298964149689,6.316401654473599,230040030.5386724
13,1.708638,9.874301,36.64566863899481,6.439336917739123,300957645.1552543,36.46298964149689,6.316401654473599,230040030.5386724
14,1.6994253,9.982306,36.84553893219799,6.632790913928095,462125397.0156789,36.46298964149689,6.316401654473599,230040030.5386724
15,1.6986853,9.856913,36.613385763672106,6.415645927045995,263941246.10744783,36.46298964149689,6.316401654473599,230040030.5386724
16,1.6960089,10.049652,36.96961729233963,6.72852135725096,516373298.3110291,36.46298964149689,6.316401654473599,230040030.5386724
17,1.6920351,9.940654,36.76858629135363,6.568043885946436,390981089.3133205,36.46298964149689,6.316401654473599,230040030.5386724
18,1.6889064,10.050443,36.97107095470588,6.635384150419307,369861855.00479954,36.46298964149689,6.316401654473599,230040030.5386724
19,1.6836094,9.812972,36.531685527029204,6.542709959651336,451955503.2268531,36.46298964149689,6.316401654473599,230040030.5386724
20,1.6796644,9.793885,36.49614044481639,6.406230305987457,257855858.2347378,36.46298964149689,6.316401654473599,230040030.5386724
21,1.6753569,9.68237,36.28776849090854,6.283672348807109,162810239.56948602,36.28776849090854,6.283672348807109,162810239.56948602
22,1.6710397,9.814778,36.53504589616654,6.46203715980588,313945259.9694977,36.28776849090854,6.283672348807109,162810239.56948602
23,1.6710618,9.732953,36.382432873718834,6.384184947746434,276525499.0582122,36.28776849090854,6.283672348807109,162810239.56948602
24,1.6680732,9.767028,36.44606356453293,6.405570241051311,259745730.8973611,36.28776849090854,6.283672348807109,162810239.56948602
