dish_name,rmse,mse
1. Kacchi Basmati ( P1 ),138.50309730835076,95.29753419950411
1. Kacchi Basmoti ( P3 ),1.9263250223211932,1.4820852798300903
1. Kacchi Basmati ( P5 ),1.3146058101257252,0.9363576417135728
2. Kacchi Basmati ( P1 ),7.615248016259189,3.7649295548726984
2. Kacchi Basmoti ( P3 ),0.6057698861848437,0.42068449308636124
2. Kacchi Basmati ( P5 ),0.6203255828445499,0.26490007544105704
3. Kacchi Basmati ( P1 ),13.899181273574317,5.7330343520099465
3. Kacchi Basmati ( P3 ),0.4699594348378085,0.3132453913522231
3. Kacchi Basmati ( P5 ),0.20603111173733546,0.045595507439854854
Achari Kabab,1.4616457713725703,1.1722778417170048
Chicken Reshmi Kabab,0.16423452568282187,0.020048437035315995
Chicken Hariali,0.1528887262504534,0.02455343006106166
Chicken Tikka,1.4523885098799134,1.0517369133311432
Mutton Boti Kabab,0.2703736102888229,0.051589033264037853
Chicken Roast,26.37806982246113,10.438526000488888
Jali Kabab,19.336550333713983,11.254519180043951
Mutton Rezala,4.654963675363533,0.7395399792676235
Plan Naan,12.319018704683499,9.356305394079778
Butter Naan,16.970073603401357,12.657866416039404
Garlic Naan,6.2860050221416985,4.437832311956914
Tilli Naan,0.7095675335953217,0.4358306381996576
Kashmiri Naan,3.828131943805054,2.995593917689153
Afgani Naan,1.6675545704711123,1.2232170289309767
Nawabiana Special Naan,1.892663578930671,1.278752984140407
Chicken chap,13.993368849422215,10.863962414976838
Chicken Taoya Jhal,2.6944539092193813,2.1541306270746055
Chicken Tandoori,6.5971283793569935,4.754510477572293
Morog polao (Dim),4.853172021579764,3.492029154455507
Kacchi set,1.5136744763743444,1.1377759770332994
Polao set,0.05698028822981897,0.003246753246753247
Set 01,4.344744522230908,3.4750970422060456
Set 02,1.6452064200111898,1.2204938516407817
Set 03,0.5976083111095588,0.37188448140083197
Set 04,0.6493500263596282,0.5076703446155245
Chicken Boti Taoya,2.3433161735307184,1.7025868331457112
Kacchi,13.54850952814869,10.745185359731897
Garlic chilli naan,2.106280507593983,1.4436621319792875
Kacchi special,36.67289875653245,8.417274609982194
Plain Polao Set 1,1.7745608524363623,1.2656387602547547
Morog pola (Dim),60.58526764022294,29.179019980616385
Chicken onion chaap,5.057103610084206,3.9639057648646365
Jali kabab,2.6816069036348145,1.8134463634341955
Jorda.1,0.3234023841208063,0.1003583206904012
Chicken Boti Taoya.1,1.6348783118970291,1.272823292374998
Chicken Taowa Jhal,1.6544114936405798,1.2886122232423973
Chicken achari kabab,0.7739176587092917,0.5652633122857902
Chicken Tandoori.1,3.9952561207296027,3.0825497675928974
Plan naan,5.250615364724319,4.253135342489589
Butter naan,8.679403381529552,6.781201505041742
Garlic naan,2.47459284782913,1.956071873280135
Garlic chilli naan.1,1.1863002484753449,0.8964734030524631
Kashmiri Naan.1,1.6634488327719315,1.2864760665537476
Afghani naan,0.9873984540584201,0.7627379024619019
Nawabiana special naan,0.910907388367738,0.4970792005104678
Ramadan Platter 01,0.0,0.0
Grill Platter,0.0,0.0
Kacchi set 2,0.8635831522177689,0.6547524971863279
Plain Polao Set 2,0.13042381676558595,0.017534422409998907
Nawabiana Kashmiri Naan,0.05698028822981897,0.003246753246753247
Chicken Nawabi Kabab,0.05698028822981897,0.003246753246753247
Chicken Onion Chap,11.397113978436156,8.788072960717338
Kasmiri Faluda,7.735623927687012,6.0951873265303576
Strawberry Milkshake,0.8972422458568663,0.670341034964114
Vanilla Milkshake,1.0437974837259418,0.7510993568492788
Chocolate Milkshake,1.7126406773852798,1.3374801834972647
Oreo Milkshake,0.21806561704945043,0.04391883291884676
Caramel Cold Coffee,0.05698028822981897,0.003246753246753247
Coconut Milkshake,0.2575522192763766,0.061306370978618595
Nawabiana Special Fruits Salad,0.5062001484818494,0.29730491226466443
4. Kacchi Basmati(P1),29.525394141092015,7.435880237924201
4. Kacchi Basmati(P3),0.2150580060295673,0.05228211832317439
Morog pola (Jali),20.416583297181816,7.669031541552637
Jhal Misty Voj,0.0,0.0
Achari Voj,0.0,0.0
Kashmiri voj,0.0,0.0
Nawabi Voj,0.19532444298720747,0.03675520243486027
Kacchi (Package),0.0,0.0
Plain Polao (Package),0.0,0.0
4. Kacchi Basmati(P5),0.24998534775272904,0.08451824998120208
Kacchi (4pcs Mutton),2.4928365894740177,1.692638209960484
Jhal Misty Voj.1,0.0,0.0
Achari Voj.1,0.11744585330939036,0.012593184972738291
"Tandoori
 Voj",0.18603347139043405,0.030612030393117433
Nawabi Voj.1,0.0,0.0
Morog polao (jali),2.530881564732802,1.7448427709569405
Chicken chap.1,5.168293619458676,3.796401542502564
KACCHI SET 3,0.3040095620812081,0.11508259864209534
Tikka Kabab,1.063144715067705,0.6770521014348253
Morog polao without egg,20.674174273387322,2.4710832176270423
Iftar package 01,4.190483593928466,1.2401264963986038
Iftar package 2,23.385387658056317,8.144523680597157
Iftar package 03,2.1346106155581874,0.5895162513116737
Iftar package 4,1.1614395526345302,0.3481898508095122
Iftar package 5,4.523168123065121,1.5169564117858936
Iftar package 6,6.194234132260566,2.09908345535204
Malai Lacchi,0.0,0.0
Blueberry Lacchi,0.0,0.0
Apple juice,0.40009537252245186,0.05884116321995661
Grape Juice,0.08058229640253803,0.006493506493506494
Malta Juice,0.08059527600473769,0.006605370671718152
Papaya  Juice,0.05698028822981897,0.003246753246753247
Pineapple Juice,0.0,0.0
Raw Mango,0.24509253875294504,0.03855940501217718
Ripe Mango,0.12535453416962672,0.010352167143643676
Olive Juice,0.0,0.0
Rose Apple  Juice,0.05698028822981897,0.003246753246753247
Oreo Cold Coffee,0.08058229640253803,0.006493506493506494
KitKat Cold Coffee,0.05698028822981897,0.003246753246753247
Special Faluda,0.22285179475862668,0.03612060806193909
Fruit salada,0.0,0.0
