dish_name,rmse,mse
1. Kacchi Basmati ( P1 ),139.90347360486027,96.56300398591277
1. Kacchi Basmoti ( P3 ),2.8316933352659133,2.2427612841855007
1. Kacchi Basmati ( P5 ),1.5240080267038316,1.0324259241438145
2. Kacchi Basmati ( P1 ),7.796192104540831,4.16706078545517
2. Kacchi Basmoti ( P3 ),0.6402673088684356,0.37743776935068046
2. Kacchi Basmati ( P5 ),0.6189954903924112,0.23938572641413708
3. Kacchi Basmati ( P1 ),14.332607477369654,6.6040489989054665
3. Kacchi Basmati ( P3 ),0.48714786428470863,0.26147928906532075
3. Kacchi Basmati ( P5 ),0.2076581775119848,0.0539585119476179
Achari Kabab,1.6160756743287634,1.2193318871515137
Chicken Reshmi Kabab,0.16196778985585578,0.01587003321906963
Chicken Hariali,0.1513374643608975,0.0206661375795866
Chicken Tikka,1.4274440460014057,1.0020401917107693
Mutton Boti Kabab,0.2851097826598498,0.07248036633548025
Chicken Roast,26.762666043817067,11.79511086265375
Jali Kabab,19.359742656255175,11.301164231517099
Mutton Rezala,4.847282278090901,1.0337673685477151
Plan Naan,12.61273229160862,9.635390897849938
Butter Naan,16.494162855691034,12.342083689454315
Garlic Naan,6.256011398227946,4.416418779980052
Tilli Naan,0.7397970663177954,0.44431653069695093
Kashmiri Naan,3.8023180867112845,2.991574446876328
Afgani Naan,1.6593925216834238,1.1547781222729714
Nawabiana Special Naan,1.9152129799042428,1.3271121907640586
Chicken chap,13.930878580713655,10.857991292879179
Chicken Taoya Jhal,2.8030241704712093,2.1959831274368544
Chicken Tandoori,6.492178976351009,4.800814179631023
Morog polao (Dim),4.706822129789808,3.396181782731762
Kacchi set,1.4849070303557137,1.0976710578112245
Polao set,0.05698028822981897,0.003246753246753247
Set 01,4.342029492709302,3.466852956003957
Set 02,1.6536587760355959,1.2446801147677682
Set 03,0.5911185566238224,0.3601284269485381
Set 04,0.6781275389721783,0.49009370890917714
Chicken Boti Taoya,2.3796856014315524,1.7294635029582235
Kacchi,13.51064246197505,10.847844603773835
Garlic chilli naan,2.1267039137584454,1.476441408156768
Kacchi special,36.010153612251344,9.947431001618698
Plain Polao Set 1,2.0425709401903966,1.3721823666438266
Morog pola (Dim),62.12467682680697,33.16365516979199
Chicken onion chaap,5.274888506697568,4.120313772907505
Jali kabab,2.7698645433430737,1.8676141335012078
Jorda.1,0.3285541948590161,0.09320186044682156
Chicken Boti Taoya.1,1.624951009030845,1.2341891816490655
Chicken Taowa Jhal,1.6766370683896914,1.2847654390112533
Chicken achari kabab,0.7803686110451377,0.5364720494329155
Chicken Tandoori.1,3.774467887639049,2.909595124326743
Plan naan,5.338271774946583,4.3184115940874275
Butter naan,8.452973274121693,6.6314421582531615
Garlic naan,2.3930241025636416,1.9233671118348064
Garlic chilli naan.1,1.1588117744217479,0.8736042582562992
Kashmiri Naan.1,1.675347343602909,1.2787319119874534
Afghani naan,0.988402028646091,0.750382620502602
Nawabiana special naan,0.9154987038689758,0.4735211187901048
Ramadan Platter 01,0.0795926736672306,0.029742991962990205
Grill Platter,0.0001721311861634084,9.808084600931639e-06
Kacchi set 2,0.8418711923884833,0.6290431584098509
Plain Polao Set 2,0.12103589160643771,0.016858133789780853
Nawabiana Kashmiri Naan,0.05698028822981897,0.003246753246753247
Chicken Nawabi Kabab,0.05698028822981897,0.003246753246753247
Chicken Onion Chap,11.687928212305327,9.125417062214442
Kasmiri Faluda,7.874534853848296,6.0549053007906135
Strawberry Milkshake,0.9298655403385775,0.6493758830640998
Vanilla Milkshake,1.0362976782222173,0.713261432171642
Chocolate Milkshake,1.8870958574074106,1.38633840562558
Oreo Milkshake,0.21977222606514935,0.044613267645820395
Caramel Cold Coffee,0.05698028822981897,0.003246753246753247
Coconut Milkshake,0.25615045629225053,0.058775814056590006
Nawabiana Special Fruits Salad,0.5020009793623068,0.25311082799906853
4. Kacchi Basmati(P1),30.611071082025035,9.015835969914477
4. Kacchi Basmati(P3),0.21463699841701492,0.056185086487562624
Morog pola (Jali),20.775484584939242,8.180182775797007
Jhal Misty Voj,0.0,0.0
Achari Voj,0.0,0.0
Kashmiri voj,0.0,0.0
Nawabi Voj,0.18379339202793538,0.020969463512301445
Kacchi (Package),0.0,0.0
Plain Polao (Package),0.0,0.0
4. Kacchi Basmati(P5),0.2513260915460735,0.08308320930348588
Kacchi (4pcs Mutton),2.6871599757003697,1.7114762385170181
Jhal Misty Voj.1,0.0,0.0
Achari Voj.1,0.11405786470273241,0.006997768271279025
"Tandoori
 Voj",0.17331912504581543,0.015777081952660116
Nawabi Voj.1,0.0,0.0
Morog polao (jali),2.517543312670005,1.7544089237639269
Chicken chap.1,5.226174735491366,3.863949402586206
KACCHI SET 3,0.3001694320094244,0.09056861546229232
